Reproduction, 	 Crossover, 	 Mutation, 	 Sigma, 	 Earliest, 	 Average (.25), 	 Standard Deviation (.25), 	 Average (.1), 	 Standard Deviation (.1) 
6, 	 82, 	 10, 	 1, 	 6, 	 12, 	 7.694153624668538, 	30.2, 	12.4
6, 	 82, 	 10, 	 2, 	 6, 	 10, 	 3.847076812334269, 	24, 	15.297058540778355
6, 	 82, 	 10, 	 3, 	 5, 	 18.6, 	 13.95134402127623, 	34.8, 	18.626862323000083
6, 	 82, 	 10, 	 4, 	 3, 	 6.2, 	 1.9390719429665317, 	12, 	3.40587727318528
6, 	 82, 	 10, 	 5, 	 3, 	 8.2, 	 4.445222154178573, 	15.8, 	10.342146779078318
6, 	 82, 	 15, 	 1, 	 7, 	 17.4, 	 16.426807358704856, 	29.6, 	17.396551382386107
6, 	 82, 	 15, 	 2, 	 5, 	 9.2, 	 3.655133376499413, 	19.6, 	10.248902380255165
6, 	 82, 	 15, 	 3, 	 2, 	 8.4, 	 3.9293765408777004, 	24.6, 	16.218507946170636
6, 	 82, 	 15, 	 4, 	 4, 	 12.8, 	 7.782030583337488, 	18.2, 	10.628264204469138
6, 	 82, 	 15, 	 5, 	 5, 	 9.2, 	 3.3105890714493698, 	17.6, 	4.409081537009721
6, 	 88, 	 5, 	 1, 	 5, 	 8, 	 2.6076809620810595, 	19.2, 	16.28987415543779
6, 	 88, 	 5, 	 2, 	 9, 	 27, 	 18.93145530591877, 	43.2, 	13.6
6, 	 88, 	 5, 	 3, 	 5, 	 8.4, 	 3.7202150475476548, 	28.8, 	14.715977711317723
6, 	 88, 	 5, 	 4, 	 3, 	 7, 	 3.1622776601683795, 	22, 	15.53061492665374
6, 	 88, 	 5, 	 5, 	 4, 	 11.4, 	 9.499473669630333, 	23.2, 	18.86160120456373
6, 	 88, 	 10, 	 1, 	 3, 	 8.2, 	 3.9698866482558417, 	24.4, 	20.905501668221216
6, 	 88, 	 10, 	 2, 	 3, 	 9.4, 	 8.01498596380555, 	19.6, 	16.131955864060625
6, 	 88, 	 10, 	 3, 	 4, 	 6.4, 	 2.0591260281974, 	24.2, 	14.864723340849636
6, 	 88, 	 10, 	 4, 	 2, 	 7.6, 	 4.223742416388575, 	19.4, 	16.267759526130202
6, 	 88, 	 10, 	 5, 	 5, 	 11, 	 4.604345773288535, 	19.2, 	6.04648658313239
6, 	 88, 	 15, 	 1, 	 6, 	 17, 	 16.73320053068151, 	28.2, 	18.02664694279
6, 	 88, 	 15, 	 2, 	 6, 	 16.2, 	 14.133647795243801, 	28.4, 	18.07318455613177
6, 	 88, 	 15, 	 3, 	 5, 	 7.8, 	 4.166533331199932, 	22.4, 	15.239422561238992
6, 	 88, 	 15, 	 4, 	 3, 	 9, 	 3.40587727318528, 	17.8, 	8.726969691708572
6, 	 88, 	 15, 	 5, 	 5, 	 6.6, 	 1.624807680927192, 	15.2, 	10.571660229122008
6, 	 94, 	 5, 	 1, 	 5, 	 17, 	 13.221195104830729, 	47.8, 	4.4
6, 	 94, 	 5, 	 2, 	 5, 	 23.6, 	 21.564786110694445, 	30.4, 	16.329115101560156
6, 	 94, 	 5, 	 3, 	 5, 	 6.6, 	 1.3564659966250536, 	18.6, 	7.28285658241325
6, 	 94, 	 5, 	 4, 	 5, 	 15.4, 	 13.124023773218335, 	29.2, 	17.10438540258024
6, 	 94, 	 5, 	 5, 	 4, 	 6.4, 	 3.0066592756745814, 	20.8, 	14.824304368165139
6, 	 94, 	 10, 	 1, 	 3, 	 8.6, 	 6.406246951218787, 	29, 	14.463747785411636
6, 	 94, 	 10, 	 2, 	 6, 	 13.2, 	 6.013318551349163, 	33.2, 	14.985326155943353
6, 	 94, 	 10, 	 3, 	 4, 	 7.4, 	 4.223742416388575, 	15, 	4.147288270665544
6, 	 94, 	 10, 	 4, 	 5, 	 10, 	 6.2289646009589745, 	28.6, 	15.91979899370592
6, 	 94, 	 10, 	 5, 	 6, 	 9.4, 	 3.0724582991474434, 	18.2, 	6.43117407632541
6, 	 94, 	 15, 	 1, 	 5, 	 20.8, 	 15.91728620085723, 	42, 	16.0
6, 	 94, 	 15, 	 2, 	 3, 	 6.2, 	 3.1874754901018454, 	25.8, 	17.915356541246954
6, 	 94, 	 15, 	 3, 	 3, 	 5.4, 	 1.624807680927192, 	8.6, 	1.9595917942265424
6, 	 94, 	 15, 	 4, 	 4, 	 5.2, 	 0.9797958971132712, 	22.2, 	17.092688495377196
6, 	 94, 	 15, 	 5, 	 3, 	 6.6, 	 3.4985711369071804, 	10.2, 	7.025667228100119
12, 	 70, 	 5, 	 1, 	 5, 	 25, 	 16.75708805252273, 	48, 	4.0
12, 	 70, 	 5, 	 2, 	 6, 	 18, 	 8.12403840463596, 	40.4, 	8.16333265278342
12, 	 70, 	 5, 	 3, 	 7, 	 14, 	 5.291502622129181, 	33, 	15.974980438172686
12, 	 70, 	 5, 	 4, 	 4, 	 11.6, 	 7.812809993849844, 	21.8, 	14.147791347061915
12, 	 70, 	 5, 	 5, 	 8, 	 17.2, 	 8.795453370918409, 	32.2, 	15.854336946085132
12, 	 70, 	 10, 	 1, 	 9, 	 18.8, 	 15.663971399361019, 	32.4, 	14.813507349712964
12, 	 70, 	 10, 	 2, 	 8, 	 31.4, 	 18.084247288731707, 	44.6, 	7.787168933572714
12, 	 70, 	 10, 	 3, 	 2, 	 8, 	 5.059644256269407, 	16.8, 	6.11228271597445
12, 	 70, 	 10, 	 4, 	 6, 	 10, 	 2.280350850198276, 	20.4, 	8.56971411425142
12, 	 70, 	 10, 	 5, 	 7, 	 14, 	 7.0710678118654755, 	28, 	13.754999091239519
12, 	 70, 	 15, 	 1, 	 8, 	 20, 	 15.297058540778355, 	45.4, 	9.2
12, 	 70, 	 15, 	 2, 	 6, 	 14.6, 	 5.3516352641038605, 	31.4, 	15.589740215924062
12, 	 70, 	 15, 	 3, 	 2, 	 9, 	 3.687817782917155, 	23.4, 	13.380582946942184
12, 	 70, 	 15, 	 4, 	 5, 	 7.8, 	 2.7129319932501073, 	13.8, 	5.706137047074843
12, 	 70, 	 15, 	 5, 	 5, 	 10.2, 	 6.764613810115105, 	18, 	11.027239001672177
12, 	 76, 	 5, 	 1, 	 6, 	 24, 	 14.324803663575986, 	42.2, 	15.6
12, 	 76, 	 5, 	 2, 	 6, 	 11.2, 	 4.833218389437829, 	20.2, 	15.276125163142648
12, 	 76, 	 5, 	 3, 	 5, 	 25.8, 	 19.56936381183609, 	43.8, 	12.4
12, 	 76, 	 5, 	 4, 	 4, 	 12.6, 	 8.380930735902785, 	33.2, 	13.555810562264433
12, 	 76, 	 5, 	 5, 	 7, 	 19.6, 	 15.831613941730641, 	35.8, 	13.51147660324363
12, 	 76, 	 10, 	 1, 	 2, 	 10.6, 	 6.019966777316965, 	34.4, 	13.92264342716569
12, 	 76, 	 10, 	 2, 	 5, 	 12.8, 	 12.172099243762352, 	25.6, 	17.995555006723187
12, 	 76, 	 10, 	 3, 	 6, 	 15, 	 12.409673645990857, 	25.8, 	19.903768487399567
12, 	 76, 	 10, 	 4, 	 4, 	 5.6, 	 1.2, 	13, 	7.6681158050723255
12, 	 76, 	 10, 	 5, 	 6, 	 10.6, 	 4.029888335921977, 	20.2, 	15.26302722267113
12, 	 76, 	 15, 	 1, 	 6, 	 25.4, 	 20.175232340669588, 	31.6, 	16.426807358704856
12, 	 76, 	 15, 	 2, 	 8, 	 9.4, 	 2.3323807579381204, 	22.2, 	15.223665787188052
12, 	 76, 	 15, 	 3, 	 3, 	 8.2, 	 3.867815921162743, 	18.6, 	16.316862443496913
12, 	 76, 	 15, 	 4, 	 6, 	 14.4, 	 10.480458005259122, 	35.6, 	14.71869559437928
12, 	 76, 	 15, 	 5, 	 7, 	 11.6, 	 5.314132102234569, 	22.4, 	13.425349157470729
12, 	 82, 	 5, 	 1, 	 5, 	 22.6, 	 19.345283662949996, 	33.8, 	19.84338680769994
12, 	 82, 	 5, 	 2, 	 6, 	 20.4, 	 16.156732342896568, 	28.4, 	12.076423311560422
12, 	 82, 	 5, 	 3, 	 7, 	 15.4, 	 6.590902821313632, 	38.8, 	14.4138821973818
12, 	 82, 	 5, 	 4, 	 6, 	 12, 	 7.771743691090179, 	21.4, 	16.487571076419957
12, 	 82, 	 5, 	 5, 	 5, 	 10.6, 	 4.317406628984581, 	25.8, 	14.971973817770321
12, 	 82, 	 10, 	 1, 	 5, 	 6.2, 	 1.6, 	17, 	6.0332412515993425
12, 	 82, 	 10, 	 2, 	 2, 	 8.6, 	 3.666060555964672, 	25.8, 	17.08098357823694
12, 	 82, 	 10, 	 3, 	 3, 	 7.8, 	 2.7129319932501073, 	34.2, 	14.469277798148738
12, 	 82, 	 10, 	 4, 	 6, 	 17.2, 	 14.218298069740976, 	28.2, 	18.519179247472064
12, 	 82, 	 10, 	 5, 	 6, 	 13.6, 	 8.708616422830897, 	31, 	18.308467986153293
12, 	 82, 	 15, 	 1, 	 5, 	 16.8, 	 17.05754964817632, 	34.8, 	18.882796403075474
12, 	 82, 	 15, 	 2, 	 6, 	 8.2, 	 1.6, 	25.8, 	13.347658970770867
12, 	 82, 	 15, 	 3, 	 8, 	 20.6, 	 15.226293048539425, 	35.6, 	15.957443404254956
12, 	 82, 	 15, 	 4, 	 5, 	 9.4, 	 3.9293765408777, 	26.8, 	14.661514246489004
12, 	 82, 	 15, 	 5, 	 5, 	 13.4, 	 10.983624174196786, 	20.4, 	15.265647709809105
12, 	 88, 	 5, 	 1, 	 3, 	 18.4, 	 18.24938355123263, 	32.4, 	17.327434893832383
12, 	 88, 	 5, 	 2, 	 3, 	 24.8, 	 20.81730049742281, 	44.2, 	11.6
12, 	 88, 	 5, 	 3, 	 2, 	 5.8, 	 2.039607805437114, 	14.6, 	2.727636339397171
12, 	 88, 	 5, 	 4, 	 6, 	 18.4, 	 16.280049139974977, 	43.8, 	12.4
12, 	 88, 	 5, 	 5, 	 4, 	 7.2, 	 1.9390719429665317, 	16.2, 	4.578209256903839
12, 	 88, 	 10, 	 1, 	 1, 	 14.2, 	 18.10414317221337, 	24.4, 	21.247117451550928
12, 	 88, 	 10, 	 2, 	 6, 	 19.8, 	 9.927738916792686, 	34.6, 	18.863721796082555
12, 	 88, 	 10, 	 3, 	 3, 	 8.8, 	 4.621688003316537, 	27.4, 	18.423897524682445
12, 	 88, 	 10, 	 4, 	 5, 	 7.4, 	 1.7435595774162693, 	11.6, 	3.4985711369071804
12, 	 88, 	 10, 	 5, 	 6, 	 24, 	 17.029386365926403, 	34.2, 	19.374209661299737
12, 	 88, 	 15, 	 1, 	 4, 	 5.4, 	 1.7435595774162693, 	14, 	7.9498427657407165
12, 	 88, 	 15, 	 2, 	 3, 	 10.6, 	 11.77454882362802, 	20.4, 	17.488281790959338
12, 	 88, 	 15, 	 3, 	 5, 	 8.8, 	 2.7129319932501073, 	16.6, 	7.364781055808788
12, 	 88, 	 15, 	 4, 	 6, 	 8.6, 	 2.0591260281974, 	14.8, 	4.4
12, 	 88, 	 15, 	 5, 	 4, 	 6.6, 	 2.4166091947189146, 	12.8, 	8.565045242145542
18, 	 70, 	 5, 	 1, 	 5, 	 21.8, 	 15.065191668213187, 	32.6, 	13.230268326832983
18, 	 70, 	 5, 	 2, 	 2, 	 14.8, 	 16.845177351396455, 	22, 	15.323185047502363
18, 	 70, 	 5, 	 3, 	 6, 	 10.4, 	 4.586937976471886, 	18.6, 	14.540976583434828
18, 	 70, 	 5, 	 4, 	 4, 	 8.2, 	 4.4, 	19.6, 	15.49967741599805
18, 	 70, 	 5, 	 5, 	 8, 	 28.2, 	 14.79729705047513, 	39.4, 	15.538339679644025
18, 	 70, 	 10, 	 1, 	 3, 	 10.2, 	 5.455272678794342, 	40.2, 	16.76186147180557
18, 	 70, 	 10, 	 2, 	 8, 	 22, 	 15.401298646542765, 	43.4, 	13.200000000000001
18, 	 70, 	 10, 	 3, 	 9, 	 36, 	 17.561321134812154, 	40.8, 	13.585286158193357
18, 	 70, 	 10, 	 4, 	 7, 	 14.8, 	 6.764613810115105, 	34.8, 	12.998461447417537
